"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Matériau d'emballage","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"13113",13113,"fruits, légumes, légumineuses et oléagineux","fruits","Canneberge ou cranberry, crue","Cranberry, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.68,0.65884955,1.5433309,5.3937408e-7,0.14325622,0.011344856,1.5082342e-7,9.8022199e-8,1.0309273e-8,0.023707839,0.0050730648,0.013332664,0.066957798,295.37111500000003,118.48841,28.245535,20.094848,0.00004624973
"13054",13054,"fruits, légumes, légumineuses et oléagineux","fruits","Carambole, pulpe, crue","Carambola, pulp, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",3.12,0.18233194,0.5330489,8.8451841e-8,0.079301236,0.0019046974,4.32902e-8,6.8914737e-9,2.5775538e-10,0.0043936469,0.000078789771,0.00074894414,0.015820764,14.4787909,31.087881,16.52714,6.7828953,0.0000054059292
"20054",20054,"fruits, légumes, légumineuses et oléagineux","légumes","Cardon, cru","Cardoon, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.6,0.086921607,0.75635927,1.0655849e-7,0.22293654,0.0025998532,6.1847104e-8,1.6541861e-8,4.9815668e-10,0.0068327865,0.000082689256,0.0053331747,0.031224404,5.2769207,33.610859,0.15520518,10.382168,0.0000038349846
"20241",20241,"fruits, légumes, légumineuses et oléagineux","légumes","Cardon, cuit","Cardoon, cooked","2",0,"Ambiant (moyen)","PP","Cuisson à l'eau",3,0.1420707,1.2933532,1.4531787e-7,0.51270697,0.0038454037,8.227559e-8,2.067022e-8,6.8826061e-10,0.0089623175,0.00013356957,0.0064455774,0.038454795,6.9992287,39.838513,0.34881321,24.856451,0.0000069693236
"20007",20007,"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, appertisée, égouttée","Carrot, canned, drained","2",0,"Ambiant (long)","Acier","Micro-onde",2.89,0.11435665,1.0136483,1.5025603e-7,0.3251798,0.0032375399,5.178711e-8,1.2087853e-8,2.0118482e-9,0.0039961055,0.00022808948,0.0022027484,0.011546781,19.0874669,10.501808,1.9754321,19.138885,0.000004578522
"20009",20009,"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, crue","Carrot, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.15,0.055678036,0.3643211,6.9138638e-8,0.07504361,0.0012794128,2.383536e-8,8.5672008e-9,2.4731477e-10,0.0021487918,0.000056149787,0.001367318,0.0065623638,17.5742503,9.4958462,1.9357757,5.3882923,0.0000025096168
"20008",20008,"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, cuite","Carrot, cooked","2",0,"Ambiant (moyen)","PP","Cuisson à l'eau",2.78,0.11290793,0.93488703,1.1194876e-7,0.29028974,0.0025306389,4.1436537e-8,1.2697532e-8,4.3157636e-10,0.0038066721,0.00011697035,0.0020772356,0.010727841,24.3615315,13.152622,2.7343968,18.562115,0.0000054466455
"20261",20261,"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, purée","Carrots, puree","2",0,"Ambiant (moyen)","PP","Micro-onde",2.78,0.09137102700000001,0.66622288,8.4614752e-8,0.27220036,0.0019887419,3.4625394e-8,1.0751589e-8,3.4742354e-10,0.0032089758,0.000088371378,0.001735276,0.0092001417,21.1179598,11.375123,2.3672629,14.807107,0.0000046437137
"20208",20208,"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, surgelée, crue","Carrot, frozen, raw","2",0,"Congelé","LDPE","Pas de préparation",2.7,0.10737264,0.73471505,8.4367989e-8,0.64127736,0.0021788531,3.5072706e-8,1.0835558e-8,4.2178278e-10,0.0034361527,0.00015703789,0.0017660303,0.0090787941,17.6763717,10.223423,2.0563056,22.509589,0.0000059679763
"20209",20209,"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, surgelée, cuite","Carrot, frozen, cooked","2",0,"Congelé","LDPE","Cuisson à l'eau",2.98,0.13610894999999998,0.95275077,1.0873532e-7,0.8550012,0.0026760213,4.2392544e-8,1.3061976e-8,5.2625507e-10,0.0042081793,0.00019191434,0.0021023381,0.010959181,21.092534,12.087942,2.4404082,29.789644,0.0000077221699
